date_time,heart_zone_id,total_minutes
2023-09-12T07:58,FAT_BURN,1
2023-09-12T08:48,FAT_BURN,1
2023-09-12T17:45,FAT_BURN,1
2023-09-12T17:46,FAT_BURN,1
2023-09-12T17:47,FAT_BURN,1
2023-09-12T17:48,FAT_BURN,1
2023-09-12T17:49,FAT_BURN,1
2023-09-12T17:50,FAT_BURN,1
2023-09-12T17:51,FAT_BURN,1
2023-09-12T17:52,FAT_BURN,1
2023-09-12T17:53,FAT_BURN,1
2023-09-12T17:54,FAT_BURN,1
2023-09-12T17:55,FAT_BURN,1
2023-09-12T17:56,FAT_BURN,1
2023-09-12T18:10,FAT_BURN,1
2023-09-12T20:42,FAT_BURN,1
2023-09-12T22:52,FAT_BURN,1
2023-09-12T22:53,FAT_BURN,1
2023-09-12T23:30,FAT_BURN,1
2023-09-13T08:14,FAT_BURN,1
2023-09-13T08:15,FAT_BURN,1
2023-09-13T08:16,FAT_BURN,1
2023-09-13T08:23,FAT_BURN,1
2023-09-13T12:13,FAT_BURN,1
2023-09-13T12:14,FAT_BURN,1
2023-09-13T12:15,FAT_BURN,1
2023-09-13T17:10,FAT_BURN,1
2023-09-13T18:20,CARDIO,2
2023-09-13T18:21,FAT_BURN,1
2023-09-13T18:22,FAT_BURN,1
2023-09-13T18:23,FAT_BURN,1
2023-09-13T18:24,FAT_BURN,1
2023-09-13T18:26,FAT_BURN,1
2023-09-13T18:27,FAT_BURN,1
2023-09-13T18:29,FAT_BURN,1
2023-09-13T18:30,FAT_BURN,1
2023-09-13T18:31,FAT_BURN,1
2023-09-13T18:43,FAT_BURN,1
2023-09-13T18:46,FAT_BURN,1
2023-09-13T18:47,FAT_BURN,1
2023-09-13T18:48,CARDIO,2
2023-09-13T18:49,FAT_BURN,1
2023-09-13T18:50,CARDIO,2
2023-09-13T18:51,CARDIO,2
2023-09-13T18:52,FAT_BURN,1
2023-09-13T18:53,FAT_BURN,1
2023-09-13T19:12,FAT_BURN,1
2023-09-13T19:13,FAT_BURN,1
2023-09-13T19:14,FAT_BURN,1
2023-09-13T19:15,FAT_BURN,1
2023-09-13T19:16,FAT_BURN,1
2023-09-13T19:17,FAT_BURN,1
2023-09-13T19:18,FAT_BURN,1
2023-09-13T19:19,FAT_BURN,1
2023-09-13T19:20,FAT_BURN,1
2023-09-13T19:21,FAT_BURN,1
2023-09-13T19:22,FAT_BURN,1
2023-09-13T19:23,FAT_BURN,1
2023-09-13T19:24,FAT_BURN,1
2023-09-13T19:25,FAT_BURN,1
2023-09-13T19:26,FAT_BURN,1
2023-09-13T19:27,FAT_BURN,1
2023-09-13T19:28,FAT_BURN,1
2023-09-13T19:29,FAT_BURN,1
2023-09-13T19:30,FAT_BURN,1
2023-09-14T10:15,FAT_BURN,1
2023-09-14T10:17,FAT_BURN,1
2023-09-14T10:18,FAT_BURN,1
2023-09-14T10:19,FAT_BURN,1
2023-09-14T10:20,FAT_BURN,1
2023-09-14T10:21,FAT_BURN,1
2023-09-14T10:22,FAT_BURN,1
2023-09-14T10:23,FAT_BURN,1
2023-09-14T10:24,FAT_BURN,1
2023-09-14T10:25,FAT_BURN,1
2023-09-14T10:26,FAT_BURN,1
2023-09-14T10:27,FAT_BURN,1
2023-09-14T10:28,FAT_BURN,1
2023-09-14T10:29,FAT_BURN,1
2023-09-14T10:30,FAT_BURN,1
2023-09-14T13:14,FAT_BURN,1
2023-09-14T13:16,FAT_BURN,1
2023-09-14T13:17,FAT_BURN,1
2023-09-14T17:07,FAT_BURN,1
2023-09-14T17:08,FAT_BURN,1
2023-09-14T17:09,FAT_BURN,1
2023-09-14T17:30,FAT_BURN,1
2023-09-14T17:31,FAT_BURN,1
2023-09-14T17:32,FAT_BURN,1
2023-09-14T17:33,FAT_BURN,1
2023-09-14T17:34,FAT_BURN,1
2023-09-14T17:35,FAT_BURN,1
2023-09-14T17:36,FAT_BURN,1
2023-09-14T17:37,FAT_BURN,1
2023-09-14T17:38,FAT_BURN,1
2023-09-14T17:39,FAT_BURN,1
2023-09-14T17:44,FAT_BURN,1
2023-09-14T17:45,FAT_BURN,1
2023-09-14T17:50,FAT_BURN,1
2023-09-14T17:51,FAT_BURN,1
2023-09-14T17:52,FAT_BURN,1
2023-09-14T17:53,FAT_BURN,1
2023-09-14T17:54,CARDIO,2
2023-09-14T17:55,CARDIO,2
2023-09-14T17:56,FAT_BURN,1
2023-09-14T17:57,FAT_BURN,1
2023-09-14T17:58,FAT_BURN,1
2023-09-14T17:59,FAT_BURN,1
2023-09-14T18:00,CARDIO,2
